ID карточки,ID товара,ISBN,Автор,Возраст,Год издания,Голоса,Издательство,Кол-во страниц,Название,Обложка,Переводчик,Редактор,Рейтинг,Серия,Тип обложки,Тираж,Формат,Художник,Цена
1000078,2606052,9785179826767,"Фрай М., Горалик Л.",18+,2017,3,АСТ,256,Книга одиночеств,https://img-gorod.ru/upload/iblock/55f/55fb1a46036beba0b8ec063fb059b556.jpg,,,4,Миры Макса Фрая,Твердая бумажная,3000,20.5 x 13 x 1.4,,332
1004167,2608544,9785171053802,Фрай М.,18+,2017,4,АСТ,288,Новая чайная книга,https://img-gorod.ru/upload/iblock/f22/f22f1a02e0062cec44f5256f9b227860.jpg,,,5,Миры Макса Фрая,Твердая бумажная,7000,20.6 x 13.2 x 2.3,,332
1008621,2612809,9785171053819,Фрай М.,18+,2018,7,АСТ,320,Новая кофейная книга,https://img-gorod.ru/upload/iblock/5cd/5cd20b7f507a9cbd704bd8f4d64e688a.jpg,,,4,Миры Макса Фрая,Твердая бумажная,8000,20.7 x 13.2 x 2.6,,332
1012908,2615724,9785179829676,Фрай М.,16+,2017,5,АСТ,1040,Сновидения Ехо: Мастер ветров и закатов. Слишком много кошмаров. Вся правда о нас. Я иду искать. Сундук мертвеца,https://img-gorod.ru/upload/iblock/e40/e4070beb709bc0398b1c1847273232d3.jpg,,,5,,Твердая бумажная,3000,26.2 x 20 x 5.5,,1252
1017577,2620462,9785171060824,Фрай М.,18+,2018,1,АСТ,288,"Небеsное, zлодея",https://img-gorod.ru/upload/iblock/76d/76d2082efaf706e2e0f2a9a97b373f5a.jpg,,,5,Миры Макса Фрая,Твердая бумажная,8000,20.5 x 13 x 1.8,,332
1051063,2652192,9785171089337,Фрай М.,16+,2018,3,АСТ,352,Сказки старого Вильнюса VII,https://img-gorod.ru/upload/iblock/9b5/9b543923a0fb495934acddc8bbd159a7.jpg,,,5,,Суперобложка,7000,20.7 x 13.3 x 2.1,,356
1059170,2659485,9785171089733,Фрай М.,16+,2018,20,АСТ,448,Мертвый ноль,https://img-gorod.ru/upload/iblock/aec/aec2cfaece8a6190f319f1853cad7cf5.jpg,,,4,Сновидения Ехо,Твердая бумажная,30000,20.5 x 13 x 2.5,,375
1068930,2667992,9785171095802,Фрай М.,18+,2018,0,АСТ,768,Все сказки старого Вильнюса. Начало,https://img-gorod.ru/upload/iblock/d28/d28c8504ea486419b7a6001fc607662c.jpg,,,0,Макс Фрай: подарочное издание,Твердая бумажная,3000,24 x 17 x 5,,1017
1072291,2673824,9785171108540,"Фрай М., Шуйский А.",16+,2018,6,АСТ,352,Все о мире Ехо и немного больше. Чашка Фрая,https://img-gorod.ru/upload/iblock/964/9647e963198b3a0dd96cd7244c9faec1.jpg,,,5,Макс Фрай: подарочное издание,Суперобложка,7000,24.2 x 17.2 x 2.3,,547
244296,1400705,9785367009781,Фрай М.,,2009,0,"Амфора, ООО",478,"Книга для таких, как я",https://img-gorod.ru/upload/iblock/73b/73b08455a4f69b75dfbb13a845805e7a.jpg,,,0,ФРАМ,Твердая бумажная,4000,20.5 x 13.2 x 3,,
